role,name,team
student,damithc,CS2103-T00-1
student,ganeshniyer,CS2103-T00-2
student,bluesky0911,CS2103-T00-3
student,euph00,CS2103-T00-4
student,snss231,CS2103-T00-5
student,ckcherry23,CS2103-T00-6
student,kangzongxian,CS2103-T00-7
student,yixiann,CS2103-T00-8
student,chia-yh,CS2103-T00-1
student,kevin9foong,CS2103-T00-2
student,ARPspoofing,CS2103-T00-3
student,wz2k,CS2103-T00-4
student,Beebeeoii,CS2103-T00-5
student,Py0000,CS2103-T00-6
student,gohyongjing,CS2103-T00-7
student,Puakii,CS2103-T00-8
student,huixuant,CS2103-T00-1
student,waynezsy,CS2103-T00-2
student,tayruxin,CS2103-T00-3
student,mfjkri,CS2103-T00-4
student,zhacatomn,CS2103-T00-5
student,kokrui,CS2103-T00-6
student,Goh-Li-Ting,CS2103-T00-7
student,kiwibang,CS2103-T00-8
student,Originalidk,CS2103-T00-1
student,teoks0199,CS2103-T00-2
student,tanyyyming,CS2103-T00-3
student,santosh3007,CS2103-T00-4
student,Dangabit,CS2103-T00-5
student,Weiennn,CS2103-T00-6
student,woojiahao,CS2103-T00-7
student,lamchenghou,CS2103-T00-8
student,Respirayson,CS2103-T00-1
student,richiehx,CS2103-T00-2
student,jonasongg,CS2103-T00-3
student,xCOLOURx,CS2103-T00-4
student,wendy0107,CS2103-T00-5
student,LamJiuFong,CS2103-T00-6
student,TiwKangXu,CS2103-T00-7
student,gongg21,CS2103-T00-8
student,papataco14,CS2103-T00-1
student,chunweii,CS2103-T00-2
student,vigneshsankariyer1234567890,CS2103-T00-3
student,cheehongw,CS2103-T00-4
student,luminousleek,CS2103-T00-5
student,itsyme,CS2103-T00-6
student,MadLamprey,CS2103-T00-7
student,nknguyenhc,CS2103-T00-8
student,NereusWB922,CS2103-T00-1
student,Arif-Khalid,CS2103-T00-2
